Job Title,Company Name,Location,Sector
Senior Data Scientist,"Hopper
3.5","New York, NY",Travel & Tourism
"Data Scientist, Product Analytics","Noom US
4.5","New York, NY",Consumer Services
Data Science Manager,Decode_M,"New York, NY",-1
Data Analyst,"Sapphire Digital
3.4","Lyndhurst, NJ",Information Technology
"Director, Data Science","United Entertainment Group
3.4","New York, NY",Business Services
Data Scientist,"IFG Companies
2.9","New York, NY",Insurance
Quantitative Researcher,"PDT Partners
4.4","New York, NY",Finance
Quantitative Research Associate,Enlightenment Research,"New York, NY",-1
AI Scientist,"Paige
5.0","New York, NY",Information Technology
Quantitative Researcher,"Jane Street
4.8","New York, NY",Finance
Data Scientist,"Quartet Health
3.9","New York, NY",Information Technology
Data Scientist/Machine Learning,"PulsePoint
4.4","New York, NY",Information Technology
"Data Scientist, Acorn AI Labs","Medidata Solutions
4.3","New York, NY",Information Technology
Data Scientist,"Point72
3.9","New York, NY",Finance
Data Scientist - Alpha Insights,"Two Sigma
4.4","New York, NY",Finance
Data Scientist,"Affinity Solutions
3.0","New York, NY",Business Services
"Data Scientist, Analytics","Etsy
3.6","Brooklyn, NY",Retail
Data Scientist/ML Engineer,"PA Consulting
3.3","New York, NY",Business Services
Data Scientist,"Etsy
3.6","New York, NY",Retail
"VP, Data Science","7Park Data
3.9","New York, NY",Business Services
"Data Scientist, Disney+ Personalization","Walt Disney Co.
4.0","New York, NY",Media
"Senior Data Scientist, Data Science Operations","Squarespace
3.4","New York, NY",Information Technology
Quantitative Researcher – Intern (US),"Citadel Securities
4.1","New York, NY",Finance
Senior Data Engineer (Healthcare Domain experience required),"Enterprise Integration
3.4","New York, NY",Information Technology
Data Scientist,"WITHIN
4.4","New York, NY",Business Services
"Data Scientist, Marketplace Economics","Spotify
3.8","New York, NY",Information Technology
Data Scientist,"Datadog
4.1","New York, NY",Information Technology
Lead Data Scientist,"Aetna
3.3","New York, NY",Insurance
"Data Scientist, Personalization","Hungryroot
5.0","New York, NY",Consumer Services
Principal Data Scientist,"Aetna
3.3","New York, NY",Insurance
Data Scientist,"Caserta
4.3","New York, NY",Information Technology
"Data Scientist, Decisions","Lyft
3.7","New York, NY",Information Technology
Data Scientist,"IBG LLC
4.3","New York, NY",Finance
Data Scientist,"CLEAR
3.0","New York, NY",Business Services
Data Science Analyst,"GNY Insurance Companies
3.7","New York, NY",Insurance
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]","Squarespace
3.4","New York, NY",Information Technology
Data Scientist,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services"
Data Scientist,"infarm
4.2","New York, NY",Retail
Data Scientist for Alpha Insights,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services"
"Data Scientist, Analytics","Bowery Farming
4.6","New York, NY",Agriculture & Forestry
Data Scientist,"NorthOne
4.3","New York, NY",-1
Quantitative Researcher / Quantitative Research Analyst,"Citadel Securities
4.1","New York, NY",Finance
Technical Data Consultant,"Braze
4.3","New York, NY",Business Services
"Data Scientist, Instagram - Well-being, Trust","Facebook
4.5","New York, NY",Information Technology
Data Science Analyst,MUSIC & Entertainment,"New York, NY",-1
"Data Scientist, Decisions","Crisis Text Line
3.9","New York, NY",Non-Profit
Data Scientist,"Casper
3.4","New York, NY",Retail
Data Scientist/Lead Data Scientist,"BlueLabs
4.7","New York, NY",Business Services
Quantitative Research Analyst,"Tower Research Capital
3.6","New York, NY",Finance
"Data Scientist, Analytics & Inference","Codecademy
3.5","New York, NY",Education
Data Analyst,"Point72
3.9","New York, NY",Finance
CIB - Data Scientist,"JPMorgan Chase
3.9","New York, NY",Finance
Data Scientist,"viagogo
3.2","New York, NY",Information Technology
Data Scientist,CompIQ,"New York, NY",Information Technology
Lead Data Scientist - 66201BR,"Aetna
3.3","New York, NY",Insurance
"Data Scientist, Analytics & Inference",Codeacademy,"New York, NY",-1
Data Scientist,"Gallup
4.2","New York, NY",Business Services
"Data Scientist, Buyer Experience","eBay
3.6","New York, NY",Information Technology
Data Scientist,"Amazon
3.9","New York, NY",Information Technology
Data Scientist - Forecasting,"Amazon
3.9","New York, NY",Information Technology
Data Scientist - Machine Learning Platform,"Spotify
3.8","New York, NY",Information Technology
Data Scientist - People Analytics,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1
Data Scientist / Engineer,"Snappy
5.0","New York, NY",Information Technology
Data Scientist,Pierce Technology Corp,"New York, NY",-1
Applied Data Scientist,"Aptus Health
3.4","New York, NY",Business Services
Data Scientist - Analytics Engineer,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance
People Analytics Data Scientist,"D. E. Shaw & Co.
4.4","New York, NY",Finance
Data Scientist,"Known
3.0","New York, NY",Business Services
Credit Analytics Manager,"Liberty Lending
4.0","New York, NY",Finance
Data Scientist - Nationwide Opportunities,"Amazon
3.9","New York, NY",Information Technology
Data Scientist,"DoSomething.org
3.6","New York, NY",Non-Profit
Data Scientist,"ApTask
3.9","New York, NY",Information Technology
Data Scientist,"Match Group
2.8","New York, NY",Business Services
Data Scientist - Power BI,"UCI
4.1","New York, NY",-1
Data Engineer (Python),"Conductor
4.4","New York, NY",Information Technology
Data Scientist - Next Gen Digital Investing App,"Forbes Media
3.3","Jersey City, NJ",Media
Data Scientist,"Interactive Brokers
2.9","New York, NY",Finance
Data Scientist - Disney Streaming Services,"The Walt Disney Company
4.0","New York, NY",Media
Data Scientist Technical Lead,"Google
4.4","New York, NY",Information Technology
Healthcare Data Scientist,"Milliman
3.8","New York, NY",Business Services
Data Scientist - Relocate to Washington D.C.,"CIA
3.8","New York, NY",Government
Senior Data Scientist,"Metroplus Health Plan
2.7","New York, NY",Health Care
Data Scientist,Huxley Banking & Financial Services,"New York, NY",-1
"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))","Medidata Solutions
4.3","New York, NY",Information Technology
"Data Scientist, Analytics- Instagram-Family Stories","Facebook
4.5","New York, NY",Information Technology
Data Scientist,One Drop,"New York, NY",Information Technology
Point72 Data Scientist,"Point72
3.9","New York, NY",Finance
"Data Scientist II, Data, Models & Decisions","LivePerson, Inc.
3.3","New York, NY",Information Technology
Data Scientist,Microagility,"New York, NY",Business Services
Data Scientist/Data Architect,Financial Services Company,"New York, NY",-1
AI - Quantitative Research Scientist,"Bloomberg
3.8","New York, NY",Information Technology
Data Scientist,"Koch Industries
3.6","New York, NY","Oil, Gas, Energy & Utilities"
Data Scientist - Altdata,"Huxley
3.3","New York, NY",Business Services
Data Analyst,"NYU Langone Health
4.1","New York, NY",Health Care
Data Scientist,"Gate Staffing LLC
2.8","New York, NY",Information Technology
