,Job Title,Company Name,Location,Sector,City,State
0,Senior Data Scientist,"Hopper
3.5","New York, NY",Travel & Tourism,New York,New York
1,"Data Scientist, Product Analytics","Noom US
4.5","New York, NY",Consumer Services,New York,New York
2,Data Science Manager,Decode_M,"New York, NY",-1,New York,New York
3,Data Analyst,"Sapphire Digital
3.4","Lyndhurst, NJ",Information Technology,Lyndhurst,New Jersey
4,"Director, Data Science","United Entertainment Group
3.4","New York, NY",Business Services,New York,New York
5,Data Scientist,"IFG Companies
2.9","New York, NY",Insurance,New York,New York
6,Quantitative Researcher,"PDT Partners
4.4","New York, NY",Finance,New York,New York
7,Quantitative Research Associate,Enlightenment Research,"New York, NY",-1,New York,New York
8,AI Scientist,"Paige
5.0","New York, NY",Information Technology,New York,New York
9,Quantitative Researcher,"Jane Street
4.8","New York, NY",Finance,New York,New York
10,Data Scientist,"Quartet Health
3.9","New York, NY",Information Technology,New York,New York
11,Data Scientist/Machine Learning,"PulsePoint
4.4","New York, NY",Information Technology,New York,New York
12,"Data Scientist, Acorn AI Labs","Medidata Solutions
4.3","New York, NY",Information Technology,New York,New York
13,Data Scientist,"Point72
3.9","New York, NY",Finance,New York,New York
14,Data Scientist - Alpha Insights,"Two Sigma
4.4","New York, NY",Finance,New York,New York
15,Data Scientist,"Affinity Solutions
3.0","New York, NY",Business Services,New York,New York
16,"Data Scientist, Analytics","Etsy
3.6","Brooklyn, NY",Retail,Brooklyn,New York
17,Data Scientist/ML Engineer,"PA Consulting
3.3","New York, NY",Business Services,New York,New York
18,Data Scientist,"Etsy
3.6","New York, NY",Retail,New York,New York
19,"VP, Data Science","7Park Data
3.9","New York, NY",Business Services,New York,New York
20,"Data Scientist, Disney+ Personalization","Walt Disney Co.
4.0","New York, NY",Media,New York,New York
21,"Senior Data Scientist, Data Science Operations","Squarespace
3.4","New York, NY",Information Technology,New York,New York
22,Quantitative Researcher – Intern (US),"Citadel Securities
4.1","New York, NY",Finance,New York,New York
23,Senior Data Engineer (Healthcare Domain experience required),"Enterprise Integration
3.4","New York, NY",Information Technology,New York,New York
24,Data Scientist,"WITHIN
4.4","New York, NY",Business Services,New York,New York
25,"Data Scientist, Marketplace Economics","Spotify
3.8","New York, NY",Information Technology,New York,New York
26,Data Scientist,"Datadog
4.1","New York, NY",Information Technology,New York,New York
27,Lead Data Scientist,"Aetna
3.3","New York, NY",Insurance,New York,New York
28,"Data Scientist, Personalization","Hungryroot
5.0","New York, NY",Consumer Services,New York,New York
29,Principal Data Scientist,"Aetna
3.3","New York, NY",Insurance,New York,New York
30,Data Scientist,"Caserta
4.3","New York, NY",Information Technology,New York,New York
31,"Data Scientist, Decisions","Lyft
3.7","New York, NY",Information Technology,New York,New York
32,Data Scientist,"IBG LLC
4.3","New York, NY",Finance,New York,New York
33,Data Scientist,"CLEAR
3.0","New York, NY",Business Services,New York,New York
34,Data Science Analyst,"GNY Insurance Companies
3.7","New York, NY",Insurance,New York,New York
35,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]","Squarespace
3.4","New York, NY",Information Technology,New York,New York
36,Data Scientist,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",New York,New York
37,Data Scientist,"infarm
4.2","New York, NY",Retail,New York,New York
38,Data Scientist for Alpha Insights,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",New York,New York
39,"Data Scientist, Analytics","Bowery Farming
4.6","New York, NY",Agriculture & Forestry,New York,New York
40,Data Scientist,"NorthOne
4.3","New York, NY",-1,New York,New York
41,Quantitative Researcher / Quantitative Research Analyst,"Citadel Securities
4.1","New York, NY",Finance,New York,New York
42,Technical Data Consultant,"Braze
4.3","New York, NY",Business Services,New York,New York
43,"Data Scientist, Instagram - Well-being, Trust","Facebook
4.5","New York, NY",Information Technology,New York,New York
44,Data Science Analyst,MUSIC & Entertainment,"New York, NY",-1,New York,New York
45,"Data Scientist, Decisions","Crisis Text Line
3.9","New York, NY",Non-Profit,New York,New York
46,Data Scientist,"Casper
3.4","New York, NY",Retail,New York,New York
47,Data Scientist/Lead Data Scientist,"BlueLabs
4.7","New York, NY",Business Services,New York,New York
48,Quantitative Research Analyst,"Tower Research Capital
3.6","New York, NY",Finance,New York,New York
49,"Data Scientist, Analytics & Inference","Codecademy
3.5","New York, NY",Education,New York,New York
50,Data Analyst,"Point72
3.9","New York, NY",Finance,New York,New York
51,CIB - Data Scientist,"JPMorgan Chase
3.9","New York, NY",Finance,New York,New York
52,Data Scientist,"viagogo
3.2","New York, NY",Information Technology,New York,New York
53,Data Scientist,CompIQ,"New York, NY",Information Technology,New York,New York
54,Lead Data Scientist - 66201BR,"Aetna
3.3","New York, NY",Insurance,New York,New York
55,"Data Scientist, Analytics & Inference",Codeacademy,"New York, NY",-1,New York,New York
56,Data Scientist,"Gallup
4.2","New York, NY",Business Services,New York,New York
57,"Data Scientist, Buyer Experience","eBay
3.6","New York, NY",Information Technology,New York,New York
58,Data Scientist,"Amazon
3.9","New York, NY",Information Technology,New York,New York
59,Data Scientist - Forecasting,"Amazon
3.9","New York, NY",Information Technology,New York,New York
60,Data Scientist - Machine Learning Platform,"Spotify
3.8","New York, NY",Information Technology,New York,New York
61,Data Scientist - People Analytics,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,New York,New York
62,Data Scientist / Engineer,"Snappy
5.0","New York, NY",Information Technology,New York,New York
63,Data Scientist,Pierce Technology Corp,"New York, NY",-1,New York,New York
64,Applied Data Scientist,"Aptus Health
3.4","New York, NY",Business Services,New York,New York
65,Data Scientist - Analytics Engineer,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance,Jersey City,New Jersey
66,People Analytics Data Scientist,"D. E. Shaw & Co.
4.4","New York, NY",Finance,New York,New York
67,Data Scientist,"Known
3.0","New York, NY",Business Services,New York,New York
68,Credit Analytics Manager,"Liberty Lending
4.0","New York, NY",Finance,New York,New York
69,Data Scientist - Nationwide Opportunities,"Amazon
3.9","New York, NY",Information Technology,New York,New York
70,Data Scientist,"DoSomething.org
3.6","New York, NY",Non-Profit,New York,New York
71,Data Scientist,"ApTask
3.9","New York, NY",Information Technology,New York,New York
72,Data Scientist,"Match Group
2.8","New York, NY",Business Services,New York,New York
73,Data Scientist - Power BI,"UCI
4.1","New York, NY",-1,New York,New York
74,Data Engineer (Python),"Conductor
4.4","New York, NY",Information Technology,New York,New York
75,Data Scientist - Next Gen Digital Investing App,"Forbes Media
3.3","Jersey City, NJ",Media,Jersey City,New Jersey
76,Data Scientist,"Interactive Brokers
2.9","New York, NY",Finance,New York,New York
77,Data Scientist - Disney Streaming Services,"The Walt Disney Company
4.0","New York, NY",Media,New York,New York
78,Data Scientist Technical Lead,"Google
4.4","New York, NY",Information Technology,New York,New York
79,Healthcare Data Scientist,"Milliman
3.8","New York, NY",Business Services,New York,New York
80,Data Scientist - Relocate to Washington D.C.,"CIA
3.8","New York, NY",Government,New York,New York
81,Senior Data Scientist,"Metroplus Health Plan
2.7","New York, NY",Health Care,New York,New York
82,Data Scientist,Huxley Banking & Financial Services,"New York, NY",-1,New York,New York
83,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))","Medidata Solutions
4.3","New York, NY",Information Technology,New York,New York
84,"Data Scientist, Analytics- Instagram-Family Stories","Facebook
4.5","New York, NY",Information Technology,New York,New York
85,Data Scientist,One Drop,"New York, NY",Information Technology,New York,New York
86,Point72 Data Scientist,"Point72
3.9","New York, NY",Finance,New York,New York
87,"Data Scientist II, Data, Models & Decisions","LivePerson, Inc.
3.3","New York, NY",Information Technology,New York,New York
88,Data Scientist,Microagility,"New York, NY",Business Services,New York,New York
89,Data Scientist/Data Architect,Financial Services Company,"New York, NY",-1,New York,New York
90,AI - Quantitative Research Scientist,"Bloomberg
3.8","New York, NY",Information Technology,New York,New York
91,Data Scientist,"Koch Industries
3.6","New York, NY","Oil, Gas, Energy & Utilities",New York,New York
92,Data Scientist - Altdata,"Huxley
3.3","New York, NY",Business Services,New York,New York
93,Data Analyst,"NYU Langone Health
4.1","New York, NY",Health Care,New York,New York
94,Data Scientist,"Gate Staffing LLC
2.8","New York, NY",Information Technology,New York,New York
95,Data Scientist,ConcertAI,"New York, NY",-1,New York,New York
96,"Data Scientist, Recommendations","Tapestry
3.4","New York, NY",Retail,New York,New York
97,"Data Scientist, Analytics & Insights","Tapestry
3.4","New York, NY",Retail,New York,New York
98,Data Scientist,"CKM Advisors
2.9","New York, NY",Business Services,New York,New York
99,Machine Learning Engineer/Scientist,"Jane Street
4.8","New York, NY",Finance,New York,New York
100,Point72 Healthcare Data Scientist,"Point72
3.9","New York, NY",Finance,New York,New York
101,Senior Data Scientist - Automated Marketing,"Spotify
3.8","New York, NY",Information Technology,New York,New York
102,Data Scientist,"Averity
5.0","New York, NY",Business Services,New York,New York
103,Data Scientist,"The CARIAN Group
4.2","New York, NY",Business Services,New York,New York
104,Machine Learning & Data Engineer (Remote),"Jun Group Productions LLC
4.7","New York, NY",Information Technology,New York,New York
105,Data Scientist,GradTests (gradtests.com),"New York, NY",-1,New York,New York
106,Data Scientist,"Committee of 100
2.8","New York, NY",Non-Profit,New York,New York
107,Data Scientist / Statistician,"NJF Global Holdings
4.2","New York, NY",Business Services,New York,New York
108,Data Analyst,"DMGT
4.0","New York, NY",Finance,New York,New York
109,Data Scientist (Java),"ubergig
4.9","New York, NY",Business Services,New York,New York
